 ,2016
"064 Downings, Co. Kildare",28057
"065 Droichead Nua (Newbridge) Rural, Co. Kildare",33849
"066 Droichead Nua (Newbridge) Urban, Co. Kildare",24766
"067 Dunmurry, Co. Kildare",32094
"068 Feighcullen, Co. Kildare",32811
"069 Gilltown, Co. Kildare",30916
"070 Kilcullen, Co. Kildare",28739
"071 Kildare, Co. Kildare",25674
"072 Kill, Co. Kildare",31460
"073 Killashee, Co. Kildare",44567
"074 Kilmeage North, Co. Kildare",25197
"075 Kilmeage South, Co. Kildare",25600
"076 Kilteel, Co. Kildare",30541
"077 Ladytown, Co. Kildare",35914
"078 Morristownbiller, Co. Kildare",26509
"079 Naas Rural, Co. Kildare",31394
"080 Newtown, Co. Kildare",33154
"081 Oldconnell, Co. Kildare",31637
"082 Oughterard, Co. Kildare",33454
"083 Pollardstown, Co. Kildare",31715
"084 Rathernan, Co. Kildare",28648
"085 Rathmore, Co. Kildare",30876
"086 Robertstown, Co. Kildare",26575
"087 Timahoe North, Co. Kildare",26267
"088 Timahoe South, Co. Kildare",26872
"089 Usk, Co. Kildare",30429
"001 Kilkenny No. 1 Urban, Co. Kilkenny",23705
"002 Kilkenny No. 2 Urban, Co. Kilkenny",25200
"003 Burnchurch, Co. Kilkenny",35115
"004 Callan Rural, Co. Kilkenny",28959
"005 Callan Urban, Co. Kilkenny",26271
"006 Coolaghmore, Co. Kilkenny",23935
"007 Dunamaggan, Co. Kilkenny",31200
"008 Earlstown, Co. Kilkenny",..
"009 Kells, Co. Kilkenny",26162
"010 Killamery, Co. Kilkenny",..
"011 Kilmaganny, Co. Kilkenny",25434
"012 Kilmanagh, Co. Kilkenny",28090
"013 Mallardstown, Co. Kilkenny",..
"014 Scotsborough, Co. Kilkenny",..
"015 Tullaghanbrogue, Co. Kilkenny",31451
"016 Boolyglass, Co. Kilkenny",..
"017 Fiddown, Co. Kilkenny",26977
"018 Muckalee, Co. Kilkenny",31789
"019 Pilltown, Co. Kilkenny",28024
"020 Templeorum, Co. Kilkenny",32006
"021 Tubbrid, Co. Kilkenny",30382
"022 Tullahought, Co. Kilkenny",24857
"023 Whitechurch, Co. Kilkenny",30005
"024 Attanagh, Co. Kilkenny",29843
"025 Ballyragget, Co. Kilkenny",26943
"026 Castlecomer, Co. Kilkenny",27803
"027 Clogh, Co. Kilkenny",27889
"028 Clogharinka, Co. Kilkenny",25672
"029 Kilmacar, Co. Kilkenny",34311
"030 Moneenroe, Co. Kilkenny",24845
"031 Mothell, Co. Kilkenny",29214
"032 Muckalee, Co. Kilkenny",33241
"033 Brownsford, Co. Kilkenny",33827
"034 Dysartmoon, Co. Kilkenny",28867
"035 Jerpoint West, Co. Kilkenny",34504
"036 Listerlin, Co. Kilkenny",31234
"037 Rosbercon Rural, Co. Kilkenny",25897
"038 Shanbogh, Co. Kilkenny",30959
"039 The Rower, Co. Kilkenny",30045
"040 Ballinamara, Co. Kilkenny",30189
"041 Ballybeagh, Co. Kilkenny",34518
"042 Ballycallan, Co. Kilkenny",..
"043 Clara, Co. Kilkenny",33432
"044 Coolcraheen, Co. Kilkenny",33717
"045 Dunbell, Co. Kilkenny",32300
"046 Dunmore, Co. Kilkenny",37939
"047 Freshford, Co. Kilkenny",24722
"048 Gowran, Co. Kilkenny",27882
"049 Grange, Co. Kilkenny",36286
"050 Kilkenny Rural, Co. Kilkenny",29065
"051 Kilkieran, Co. Kilkenny",34372
"052 Odagh, Co. Kilkenny",29734
"053 Outrath, Co. Kilkenny",33647
"054 Paulstown, Co. Kilkenny",30513
"055 Rathcoole, Co. Kilkenny",31270
"056 Rathealy, Co. Kilkenny",..
"057 St. Canice, Co. Kilkenny",32549
"058 Shankill, Co. Kilkenny",32011
"059 Tiscoffin, Co. Kilkenny",30952
"060 Tullaroan, Co. Kilkenny",32251
"061 Aghaviller, Co. Kilkenny",30243
"062 Ballyhale, Co. Kilkenny",31297
"063 Ballyvool, Co. Kilkenny",29636
"064 Bennettsbridge, Co. Kilkenny",28790
"065 Bramblestown, Co. Kilkenny",35342
"066 Castlebanny, Co. Kilkenny",33802
"067 Castlegannon, Co. Kilkenny",..
"068 Coolhill, Co. Kilkenny",30290
"069 Danesfort, Co. Kilkenny",29656
"070 Ennisnag, Co. Kilkenny",31889
"071 Famma, Co. Kilkenny",27451
"072 Freaghana, Co. Kilkenny",35000
"073 Goresbridge, Co. Kilkenny",21846
"074 Graiguenamanagh, Co. Kilkenny",24695
"075 Inistioge, Co. Kilkenny",27882
"076 Jerpoint Church, Co. Kilkenny",25467
"077 Kilfane, Co. Kilkenny",33243
"078 Kilkeasy, Co. Kilkenny",30305
"079 Kiltorcan, Co. Kilkenny",39352
"080 Knocktopher, Co. Kilkenny",30527
"081 Pleberstown, Co. Kilkenny",..
"082 Powerstown, Co. Kilkenny",25592
"083 Stonyford, Co. Kilkenny",28161
"084 Thomastown, Co. Kilkenny",28886
"085 Tullaherin, Co. Kilkenny",..
"086 Ullard, Co. Kilkenny",26873
"087 Woolengrange, Co. Kilkenny",..
"088 Balleen, Co. Kilkenny",31772
"089 Ballyconra, Co. Kilkenny",31429
"090 Baunmore, Co. Kilkenny",..
"091 Clomantagh, Co. Kilkenny",22691
"092 Galmoy, Co. Kilkenny",29740
"093 Glashare, Co. Kilkenny",29048
"094 Johnstown, Co. Kilkenny",26724
"095 Lisdowney, Co. Kilkenny",28967
"096 Rathbeagh, Co. Kilkenny",31027
"097 Tubbridbrittain, Co. Kilkenny",27767
"098 Urlingford, Co. Kilkenny",20251
"099 Aglish, Co. Kilkenny",32716
"100 Ballincrea, Co. Kilkenny",31113
"101 Dunkitt, Co. Kilkenny",30295
"102 Farnoge, Co. Kilkenny",30582
"103 Kilbeacon, Co. Kilkenny",32961
"104 Kilbride, Co. Kilkenny",28984
"105 Kilcolumb, Co. Kilkenny",34223
"106 Kilculliheen (part), Co. Kilkenny",27600
"107 Killahy, Co. Kilkenny",30885
"108 Kilmakevoge, Co. Kilkenny",32242
"109 Pollrone, Co. Kilkenny",28698
"110 Portnascully, Co. Kilkenny",30824
"111 Rathpatrick, Co. Kilkenny",31599
"112 Rossinan, Co. Kilkenny",30607
"113 Ullid, Co. Kilkenny",31480
"001 Abbeyleix, Co. Laois",25287
"002 Aghmacart, Co. Laois",25907
"003 Ballinakill, Co. Laois",31900
"004 Ballyroan, Co. Laois",27187
"005 Blandsfort, Co. Laois",31941
"006 Caher, Co. Laois",..
"007 Castletown, Co. Laois",25632
"008 Clash, Co. Laois",31686
"009 Clonkeen, Co. Laois",29379
"010 Colt, Co. Laois",29779
"011 Cuffsborough, Co. Laois",34060
"012 Cullahill, Co. Laois",30696
"013 Cullenagh, Co. Laois",34937
"014 Donaghmore, Co. Laois",26863
"015 Donore, Co. Laois",32819
"016 Dunmore, Co. Laois",35468
"017 Durrow, Co. Laois",23602
"018 Dysartgallen, Co. Laois",23970
"019 Fossy, Co. Laois",31567
"020 Grantstown, Co. Laois",28429
"021 Kilcoke, Co. Laois",25720
"022 Kildellig, Co. Laois",35034
"023 Killermogh, Co. Laois",30345
"024 Kilnaseer, Co. Laois",26175
"025 Raheen, Co. Laois",32429
"026 Rathdowney, Co. Laois",20060
"027 Timahoe, Co. Laois",32505
"028 Ballyadams, Co. Laois",34345
"029 Ballylynan, Co. Laois",26914
"030 Barrowhouse, Co. Laois",32499
"031 Curraclone, Co. Laois",29805
"032 Killabban, Co. Laois",27886
"033 Luggacurren, Co. Laois",27539
"034 Moyanna, Co. Laois",31565
"035 Rathaspick, Co. Laois",25480
"036 Stradbally, Co. Laois",29926
"037 Tankardstown, Co. Laois",27018
"038 Timogue, Co. Laois",32589
"039 Vicarstown, Co. Laois",26126
"040 Arderin, Co. Laois",27014
"041 Ballybrittas, Co. Laois",34486
"042 Ballycarroll, Co. Laois",33787
"043 Ballyfin, Co. Laois",34122
"044 Borris, Co. Laois",21996
999 Brisha / Capard,28832
"047 Cappalough, Co. Laois",30268
"048 Cardtown, Co. Laois",24500
"049 Castlecuffe, Co. Laois",31224
"050 Clonaslee, Co. Laois",27030
"051 Clondarrig, Co. Laois",25778
