 ,2016
"008 Ballynoe, Co. Limerick",29067
"009 Castletown, Co. Limerick",33051
"010 Coolrus, Co. Limerick",27694
"011 Crean, Co. Limerick",29216
"012 Crecora, Co. Limerick",41875
"013 Croom, Co. Limerick",27541
"014 Dunnaman, Co. Limerick",41632
"015 Fedamore, Co. Limerick",29261
"016 Garrane, Co. Limerick",30485
"017 Grange, Co. Limerick",29488
"018 Kilfinny, Co. Limerick",34986
"019 Kilpeacon, Co. Limerick",39999
"020 Rathmore, Co. Limerick",31038
"021 Fleanmore, Co. Limerick",37619
"022 Glin, Co. Limerick",29768
"023 Kilfergus, Co. Limerick",34612
"024 Kilmoylan, Co. Limerick",25746
"025 Ardpatrick, Co. Limerick",22721
"026 Athlacca, Co. Limerick",30358
"027 Ballymacshaneboy, Co. Limerick",30594
"028 Bruff, Co. Limerick",27920
"029 Bruree, Co. Limerick",28315
"030 Bulgaden, Co. Limerick",25667
"031 Cahercorney, Co. Limerick",33787
"032 Colmanswell, Co. Limerick",29919
"033 Darragh, Co. Limerick",27208
"034 Dromin, Co. Limerick",27143
"035 Emlygrennan, Co. Limerick",26936
"036 Glenbrohane, Co. Limerick",28401
"037 Griston, Co. Limerick",24844
"038 Hospital, Co. Limerick",26320
"039 Kilfinnane, Co. Limerick",22339
"040 Kilflyn, Co. Limerick",27129
"041 Kilmallock, Co. Limerick",24481
"042 Kilteely, Co. Limerick",26834
"043 Knockainy, Co. Limerick",31255
"044 Knocklong, Co. Limerick",25575
"045 Particles, Co. Limerick",33264
"046 Rockhill, Co. Limerick",35794
"047 Tobernea, Co. Limerick",31680
"048 Uregare, Co. Limerick",31714
"049 Abington, Co. Limerick",32394
"050 Ballybricken, Co. Limerick",34382
"051 Ballycummin, Co. Limerick",35013
"052 Ballysimon, Co. Limerick",37982
"053 Ballyvarra, Co. Limerick",37213
"054 Caherconlish East, Co. Limerick",31229
"055 Caherconlish West, Co. Limerick",28833
"056 Caherelly, Co. Limerick",36658
"057 Cappamore, Co. Limerick",27474
"058 Carrig, Co. Limerick",32203
"059 Castleconnell, Co. Limerick",33675
"060 Clarina, Co. Limerick",36779
"061 Clonkeen, Co. Limerick",33798
"062 Doon West, Co. Limerick",26026
"063 Glenstal, Co. Limerick",31941
"064 Kilmurry, Co. Limerick",31181
"066 Limerick South Rural, Co. Limerick",30056
"067 Patrickswell, Co. Limerick",32385
"068 Roxborough, Co. Limerick",39177
"069 Anglesborough, Co. Limerick",29438
"070 Ballylanders, Co. Limerick",19393
"071 Cullane, Co. Limerick",24259
"072 Duntryleague, Co. Limerick",28864
"073 Galbally, Co. Limerick",26077
"074 Kilbeheny, Co. Limerick",20316
"075 Kilglass, Co. Limerick",27496
"076 Knocknascrow, Co. Limerick",29590
"077 Riversdale, Co. Limerick",24853
"078 Abbeyfeale, Co. Limerick",25710
"079 Ardagh, Co. Limerick",29981
"080 Ballintober, Co. Limerick",29785
"081 Ballynoe West, Co. Limerick",26101
"082 Boola, Co. Limerick",30190
"083 Broadford, Co. Limerick",26794
"084 Caher, Co. Limerick",24593
"085 Cleanglass, Co. Limerick",25060
"086 Cloncagh, Co. Limerick",29521
"087 Danganbeg, Co. Limerick",33644
"088 Dromcolliher, Co. Limerick",27559
"089 Dromtrasna, Co. Limerick",27516
"090 Feenagh, Co. Limerick",26020
"091 Garryduff, Co. Limerick",27493
"092 Glenagower, Co. Limerick",27207
"093 Glengort, Co. Limerick",24904
"094 Glensharrold, Co. Limerick",23221
"095 Kilmeedy, Co. Limerick",27333
"096 Knockaderry, Co. Limerick",28000
"097 Mahoonagh, Co. Limerick",28086
"098 Monagay, Co. Limerick",30478
"099 Mountcollins, Co. Limerick",24970
"100 Mountplummer, Co. Limerick",25723
"101 Newcastle Rural, Co. Limerick",26916
"102 Newcastle Urban, Co. Limerick",24208
"103 Port, Co. Limerick",26500
"104 Rathronan, Co. Limerick",26000
"105 Rooskagh, Co. Limerick",31641
"106 Templeglentan, Co. Limerick",26234
"107 Askeaton East, Co. Limerick",31789
"108 Askeaton West, Co. Limerick",28918
"109 Aughinish, Co. Limerick",41209
"110 Ballyallinan, Co. Limerick",32983
"111 Ballynacarriga, Co. Limerick",36260
"112 Castletown, Co. Limerick",36306
"113 Craggs, Co. Limerick",27560
"114 Croagh, Co. Limerick",34840
"115 Dromard, Co. Limerick",36049
"116 Dunmoylan East, Co. Limerick",29427
"117 Dunmoylan West, Co. Limerick",..
"118 Iveruss, Co. Limerick",32564
"119 Kilcornan, Co. Limerick",33360
"120 Kildimo, Co. Limerick",33879
"121 Kilscannell, Co. Limerick",30985
"122 Lismakeery, Co. Limerick",33070
"123 Loghill, Co. Limerick",27268
"124 Mohernagh, Co. Limerick",26367
"125 Nantinan, Co. Limerick",27999
"126 Pallaskenry, Co. Limerick",30515
"127 Rathkeale Rural, Co. Limerick",26374
"128 Rathkeale Urban, Co. Limerick",24422
"129 Riddlestown, Co. Limerick",31191
"130 Shanagolden, Co. Limerick",31640
"131 Shanid, Co. Limerick",35463
"132 Bilboa, Co. Limerick",32500
"133 Doon South, Co. Limerick",25754
"134 Grean, Co. Limerick",29263
"135 Oola, Co. Limerick",32022
"136 Templebredon, Co. Limerick",34727
"001 Nenagh East Urban, North Tipperary",23287
"002 Nenagh West Urban, North Tipperary",24020
"003 Templemore, North Tipperary",25963
"004 Thurles Urban, North Tipperary",24083
"005 Aglishcloghane, North Tipperary",21117
"006 Ballingarry, North Tipperary",26189
"007 Ballylusky, North Tipperary",27090
"008 Borrisokane, North Tipperary",22546
"009 Carrig, North Tipperary",..
"010 Cloghjordan, North Tipperary",22325
"011 Cloghprior, North Tipperary",23157
"012 Clohaskin, North Tipperary",19599
"013 Finnoe, North Tipperary",32573
"014 Graigue, North Tipperary",22733
"015 Kilbarron, North Tipperary",27388
"016 Lorrha East, North Tipperary",22494
"017 Lorrha West, North Tipperary",29337
"018 Mertonhall, North Tipperary",..
"019 Rathcabban, North Tipperary",20122
"020 Redwood, North Tipperary",25700
"021 Riverstown, North Tipperary",29224
"022 Terryglass, North Tipperary",28846
"023 Uskane, North Tipperary",..
"024 Abington, North Tipperary",28141
"025 Aghnameadle, North Tipperary",..
"026 Ardcrony, North Tipperary",26719
"027 Ballina, North Tipperary",33475
"028 Ballygibbon, North Tipperary",28743
"029 Ballymackey, North Tipperary",32179
"030 Ballynaclogh, North Tipperary",32122
"031 Birdhill, North Tipperary",36155
"032 Burgesbeg, North Tipperary",33623
"033 Carrigatogher, North Tipperary",30576
"034 Castletown, North Tipperary",24157
"035 Derrycastle, North Tipperary",27228
"036 Dolla, North Tipperary",29359
999Greenhall / Lackagh,34001
"038 Kilcomenty, North Tipperary",36388
"039 Kilkeary, North Tipperary",32640
"040 Killoscully, North Tipperary",31821
"041 Kilmore, North Tipperary",25033
"042 Kilnaneave, North Tipperary",31018
"043 Kilnarath, North Tipperary",31690
"044 Knigh, North Tipperary",27909
"046 Latteragh, North Tipperary",25777
"047 Monsea, North Tipperary",25504
"048 Nenagh Rural, North Tipperary",33891
"049 Newport, North Tipperary",32943
"050 Templederry, North Tipperary",..
"051 Youghalarra, North Tipperary",33125
"052 Borrisnafarney, North Tipperary",26314
"053 Borrisnoe, North Tipperary",33286
"054 Bourney East, North Tipperary",27820
"055 Bourney West, North Tipperary",25338
"056 Killavinoge, North Tipperary",28329
"057 Killea, North Tipperary",24522
"058 Rathnaveoge, North Tipperary",29798
"059 Roscrea, North Tipperary",23327
"060 Timoney, North Tipperary",23452
"061 Ballycahill, North Tipperary",27287
"062 Ballymurreen, North Tipperary",31221
"063 Borrisoleigh, North Tipperary",26788
"064 Drom, North Tipperary",31119
"065 Foilnaman, North Tipperary",24757
"066 Glenkeen, North Tipperary",33988
"067 Gortkelly, North Tipperary",28770
"068 Holycross, North Tipperary",27459
"069 Inch, North Tipperary",31357
"070 Kilrush, North Tipperary",28900
"071 Littleton, North Tipperary",24554
"072 Longfordpass, North Tipperary",29499
"073 Loughmoe, North Tipperary",30847
"074 Moyaliff, North Tipperary",27319
"075 Moycarky, North Tipperary",27078
"076 Moyne, North Tipperary",29911
"077 Rahelty, North Tipperary",30356
"078 Templetouhy, North Tipperary",25520
"079 Thurles Rural, North Tipperary",30217
"080 Twomileborris, North Tipperary",26402
"081 Upperchurch, North Tipperary",30779
"082 Carrickbeg Urban, South Tipperary",23578
"083 Carrick-on-Suir Urban, South Tipperary",22496
"084 Cashel Urban, South Tipperary",21442
"085 Clonmel East Urban, South Tipperary",26623
"086 Clonmel West Urban, South Tipperary",23320
"087 Tipperary East Urban, South Tipperary",19025
"088 Tipperary West Urban, South Tipperary",19723
"089 Carrick-on-Suir Rural, South Tipperary",28393
"090 Garrangibbon, South Tipperary",26815
"091 Kilmurry, South Tipperary",33953
"092 Newtown, South Tipperary",26995
"093 Ardmayle, South Tipperary",25678
"094 Ardsallagh, South Tipperary",31747
"095 Ballysheehan, South Tipperary",34511
"096 Cashel Rural, South Tipperary",26109
"097 Clogher, South Tipperary",32624
"098 Cloneen, South Tipperary",29162
"099 Clonoulty East, South Tipperary",25671
"100 Clonoulty West, South Tipperary",27348
"101 Colman, South Tipperary",33399
"102 Cooleagh, South Tipperary",31484
"103 Drangan, South Tipperary",28784
"104 Fethard, South Tipperary",25582
"105 Gaile, South Tipperary",28287
"106 Graigue, South Tipperary",..
"107 Greystown, South Tipperary",28381
"108 Killeenasteena, South Tipperary",34591
"109 Killenaule, South Tipperary",25360
"110 Kilpatrick, South Tipperary",26162
"111 Knockgraffon, South Tipperary",28361
"112 Magorban, South Tipperary",31102
"113 Nodstown, South Tipperary",34595
"114 Oughterleague, South Tipperary",28401
"115 Peppardstown, South Tipperary",30390
"116 Tullamain, South Tipperary",28648
"117 Ardfinnan, South Tipperary",29772
"118 Ballybacon, South Tipperary",31330
"119 Ballyporeen, South Tipperary",25109
"120 Burncourt, South Tipperary",29175
"121 Caher, South Tipperary",24900
"122 Clogheen, South Tipperary",22644
"123 Coolagarranroe, South Tipperary",27319
"124 Derrygrath, South Tipperary",34350
"125 Kilcommon, South Tipperary",22344
"126 Kilcoran, South Tipperary",32285
"127 Mortlestown, South Tipperary",24480
"128 Newcastle, South Tipperary",25325
"129 Tubbrid, South Tipperary",28241
"130 Tullaghmelan, South Tipperary",31865
"131 Tullaghorton, South Tipperary",30900
"132 Ballyclerahan, South Tipperary",31827
"133 Clonmel Rural (Part Urban), South Tipperary",32098
"134 Inishlounaght (Part Urban), South Tipperary",33729
"135 Kilcash, South Tipperary",33428
999 Kilsheelan / Killaloan,31442
"138 Kiltinan, South Tipperary",32253
"139 Lisronagh, South Tipperary",31159
"140 Anner, South Tipperary",25625
"141 Ballingarry, South Tipperary",19876
"142 Ballyphilip, South Tipperary",26236
"143 Buolick, South Tipperary",23517
"144 Crohane, South Tipperary",29832
"145 Farranrory, South Tipperary",27190
"146 Fennor, South Tipperary",27196
"147 Kilcooly, South Tipperary",27352
"148 Kilvemnon, South Tipperary",27089
"149 Modeshil, South Tipperary",24282
"150 Mullinahone, South Tipperary",26265
"151 New Birmingham, South Tipperary",22228
"152 Poyntstown, South Tipperary",19040
"153 Ballycarron, South Tipperary",31654
"154 Ballygriffin, South Tipperary",..
"155 Ballykisteen, South Tipperary",24452
"156 Bansha, South Tipperary",26200
"157 Bruis, South Tipperary",32012
"158 Cappagh, South Tipperary",28622
"159 Clonbeg, South Tipperary",28059
"160 Cullen, South Tipperary",24295
"161 Curraheen, South Tipperary",25189
"162 Donohill, South Tipperary",27236
"163 Drumwood, South Tipperary",31167
"164 Emly, South Tipperary",23449
"165 Glengar, South Tipperary",24796
"166 Golden, South Tipperary",23372
"167 Kilfeakle, South Tipperary",30189
"168 Killadriffe, South Tipperary",27853
"169 Kilmucklin, South Tipperary",28630
"170 Lattin, South Tipperary",24996
"171 Rathlynin, South Tipperary",28630
"172 Rodus, South Tipperary",30711
"173 Shronell, South Tipperary",23370
"174 Solloghodbeg, South Tipperary",24348
"175 Templeneiry, South Tipperary",24384
"176 Thomastown, South Tipperary",27397
"177 Tipperary Rural, South Tipperary",26412
"001 Ballybeg North, Waterford City",21943
999 Ballybeg South / Ballynaneashagh,..
"003 Ballybricken West, Waterford City",..
"004 Ballymaclode, Waterford City",39461
"005 Ballynakill, Waterford City",40853
"007 Ballytruckle, Waterford City",26101
"008 Bilberry, Waterford City",21553
"009 Centre A, Waterford City",20144
"010 Centre B, Waterford City",..
"011 Cleaboy, Waterford City",27377
"012 Custom House A, Waterford City",..
"013 Custom House B, Waterford City",..
"014 Farranshoneen, Waterford City",36657
"015 Ferrybank, Waterford City",26500
"016 Gracedieu, Waterford City",26419
"017 Grange North, Waterford City",24483
"018 Grange South, Waterford City",28516
"019 Grange Upper, Waterford City",31968
"020 Kilbarry, Waterford City",26951
"021 Kingsmeadow, Waterford City",23617
"022 Larchville, Waterford City",..
"023 Lisduggan, Waterford City",21888
"024 Military Road, Waterford City",24839
"025 Morrisson's Avenue East, Waterford City",22260
"026 Morrisson's Avenue West, Waterford City",..
"027 Morrisson's Road, Waterford City",..
"028 Mount Sion, Waterford City",19227
"029 Newport's Square, Waterford City",..
"030 Newtown, Waterford City",35590
"031 Park, Waterford City",22163
"032 Poleberry, Waterford City",21790
"033 Roanmore, Waterford City",..
"034 Shortcourse, Waterford City",..
"035 Slievekeale, Waterford City",..
"036 The Glen, Waterford City",19902
"037 Ticor North, Waterford City",26323
"038 Ticor South, Waterford City",..
"001 Dungarvan No. 1 Urban, Co. Waterford",23821
"002 Dungarvan No. 2 Urban, Co. Waterford",31388
"003 Ballydurn, Co. Waterford",38768
"004 Carrickbeg Rural, Co. Waterford",28672
"005 Clonea, Co. Waterford",25999
"006 Fenoagh, Co. Waterford",33311
"007 Glen, Co. Waterford",29599
"008 Kilmeadan, Co. Waterford",31184
"009 Mothel, Co. Waterford",33304
"010 Portlaw, Co. Waterford",28515
"011 Rathgormuck, Co. Waterford",31073
"012 Ross, Co. Waterford",35987
"013 Ballymacarbry, Co. Waterford",32818
"014 Graignagower, Co. Waterford",33280
"015 Gurteen, Co. Waterford",30239
"016 Kilmacomma, Co. Waterford",27571
"017 Kilronan, Co. Waterford",..
"018 St. Mary's, Co. Waterford",35402
"019 Aird Mhór, Co. Waterford",27693
"020 Baile Mhac Airt, Co. Waterford",25676
"021 Bohadoon, Co. Waterford",31795
"022 Cappagh, Co. Waterford",29391
"023 Carriglea, Co. Waterford",34414
"024 Clonea, Co. Waterford",32927
"025 Colligan, Co. Waterford",32873
"026 Coumaraglin, Co. Waterford",39483
"027 Dromana, Co. Waterford",29514
"028 Dromore, Co. Waterford",27654
"029 Dungarvan Rural, Co. Waterford",29557
"030 Keereen, Co. Waterford",..
"031 Knockaunbrandaun, Co. Waterford",..
"032 Modelligo, Co. Waterford",29528
"033 Mountstuart, Co. Waterford",..
"034 An Rinn, Co. Waterford",30233
"035 Seskinan, Co. Waterford",30694
"036 Whitechurch, Co. Waterford",..
"037 Annestown, Co. Waterford",35689
"038 Ballylaneen, Co. Waterford",..
"039 Carrigcastle, Co. Waterford",31819
"040 Comeragh, Co. Waterford",32895
"041 Dunhill, Co. Waterford",..
"042 Fews, Co. Waterford",31129
"043 Fox's Castle, Co. Waterford",27560
"044 Gardenmorris, Co. Waterford",30815
"045 Georgestown, Co. Waterford",..
"046 Kilbarrymeaden, Co. Waterford",34242
"047 Kilmacthomas, Co. Waterford",29873
"048 Knockmahon, Co. Waterford",34129
"049 Mountkennedy, Co. Waterford",33459
"050 Newtown, Co. Waterford",29847
"051 Stradbally, Co. Waterford",30569
"052 Tinnasaggart, Co. Waterford",..
"053 Ballyduff, Co. Waterford",29412
"054 Ballyhane, Co. Waterford",24000
"055 Ballyin, Co. Waterford",26139
"056 Ballynamult, Co. Waterford",..
"057 Ballysaggartmore, Co. Waterford",22613
"058 Cappoquin, Co. Waterford",20112
"059 Castlerichard, Co. Waterford",24682
"060 Drumroe, Co. Waterford",30913
"061 Gortnapeaky, Co. Waterford",18479
"062 Kilcockan, Co. Waterford",23997
"063 Kilwatermoy East, Co. Waterford",..
"064 Kilwatermoy West, Co. Waterford",23069
"065 Lismore Rural, Co. Waterford",26191
"066 Lismore Urban, Co. Waterford",22508
"067 Mocollop, Co. Waterford",23828
"068 Modelligo, Co. Waterford",28379
"069 Tallow, Co. Waterford",23009
"070 Ballynakill (Part Rural), Co. Waterford",..
"071 Drumcannon, Co. Waterford",36139
"072 Faithlegg (Part Rural), Co. Waterford",33280
"073 Islandikane, Co. Waterford",38580
"074 Kilbarry (Part Rural), Co. Waterford",..
"075 Killea, Co. Waterford",27677
"076 Killoteran, Co. Waterford",27006
"077 Kilmacleague, Co. Waterford",..
"078 Kilmeadan, Co. Waterford",31176
"079 Newcastle, Co. Waterford",34840
"080 Pembrokestown, Co. Waterford",37659
"081 Rathmoylan, Co. Waterford",29965
"082 Reisk, Co. Waterford",36470
"083 Tramore, Co. Waterford",28483
"084 Woodstown, Co. Waterford",41517
"085 Ardmore, Co. Waterford",16197
"086 Ballyheeny, Co. Waterford",25447
"087 Clashmore, Co. Waterford",28491
"088 Glenwilliam, Co. Waterford",..
"089 Grallagh, Co. Waterford",23804
"090 Grange, Co. Waterford",26285
"091 Kinsalebeg, Co. Waterford",29011
"092 Templemichael, Co. Waterford",23148
"001 Ballybaan, Galway City",29902
"002 Baile an Bhriotaigh, Galway City",30638
"003 Bearna, Galway City",34299
"004 An Caisleán Gearr, Galway City",27796
"005 Claddagh, Galway City",30441
"006 Dangan, Galway City",31061
"007 Eyre Square, Galway City",26047
"008 An Cnocán Carrach, Galway City",45161
"009 Lough Atalia, Galway City",31194
"010 Mionlach, Galway City",28094
"011 Mervue, Galway City",28442
"012 Murroogh, Galway City",30238
"013 Newcastle, Galway City",27267
"014 Nuns Island, Galway City",28520
"015 Rahoon, Galway City",29484
"016 Renmore, Galway City",33986
"017 Rockbarton, Galway City",47059
"018 Paróiste San Nicoláis, Galway City",25257
"019 Salthill, Galway City",34713
"020 Shantalla, Galway City",27345
"021 Taylors Hill, Galway City",33023
"022 Wellpark, Galway City",27459
"001 Ballinasloe Urban, Co. Galway",25997
"002 Abbeygormacan, Co. Galway",31378
"003 Ahascragh, Co. Galway",25650
"004 Aughrim, Co. Galway",30702
"005 Ballinasloe Rural, Co. Galway",33236
"006 Ballymacward, Co. Galway",20150
"007 Clonfert, Co. Galway",27944
"008 Clontuskert, Co. Galway",25216
"009 Kellysgrove, Co. Galway",29994
"010 Kilconnell, Co. Galway",25226
"011 Killaan, Co. Galway",27576
"012 Killallaghtan, Co. Galway",28241
"013 Killoran, Co. Galway",23703
"014 Killure, Co. Galway",27228
"015 Kilmacshane, Co. Galway",28552
"016 Kiltormer, Co. Galway",26841
"017 Kylemore, Co. Galway",38574
"018 Laurencetown, Co. Galway",24271
"019 Lismanny, Co. Galway",34330
"020 Oatfield, Co. Galway",26780
"021 Ballynakill, Co. Galway",..
"022 Binn an Choire, Co. Galway",..
"023 Bunowen, Co. Galway",..
"024 Cleggan, Co. Galway",..
"025 Clifden, Co. Galway",21049
"026 Cushkillary, Co. Galway",..
999 Derrycunlagh / Derrylea,22577
"029 Doonloughan, Co. Galway",..
"030 Errislannan, Co. Galway",..
"031 An Uillinn, Co. Galway",18334
"032 Inishbofin, Co. Galway",19646
"033 An Cnoc Buí, Co. Galway",22887
"034 Maíros, Co. Galway",18399
"035 Abhainn Ghabhla, Co. Galway",18241
"036 Rinvyle, Co. Galway",18335
"037 Cloch na Rón, Co. Galway",19479
"038 Sillerna, Co. Galway",..
"039 Scainimh, Co. Galway",18560
"040 Eanach Dhúin, Co. Galway",32397
"041 Aughrim, Co. Galway",33149
"042 Baile an Teampaill (Part Rural), Co. Galway",34196
"043 Ballynacourty, Co. Galway",32247
"044 Bearna (Part Rural), Co. Galway",40808
"045 Belleville, Co. Galway",28537
"046 An Carn Mór, Co. Galway",33898
"047 Ceathrú an Bhrúnaigh (Part Rural), Co. Galway",31310
"048 Baile Chláir, Co. Galway",33106
"049 Clarinbridge, Co. Galway",37580
"050 Deerpark, Co. Galway",31939
"051 Na Forbacha, Co. Galway",32151
"052 Galway Rural (Part Rural), Co. Galway",..
"053 Árainn, Co. Galway",..
"054 Cill Chuimin, Co. Galway",25788
"055 Cill Aithnín, Co. Galway",29375
"056 Leacach Beag, Co. Galway",36322
"057 Liscananaun, Co. Galway",31617
"058 Lisín an Bhealaigh, Co. Galway",34555
"059 Maigh Cuilinn, Co. Galway",34530
"060 Oranmore, Co. Galway",34465
"061 Sailearna, Co. Galway",26961
"062 Sliabh an Aonaigh, Co. Galway",32249
"063 An Spidéal, Co. Galway",26786
"064 Stradbally, Co. Galway",35108
"065 Tulaigh Mhic Aodháin, Co. Galway",33541
"066 Ballinastack, Co. Galway",25394
"067 Ballymoe, Co. Galway",27196
"068 Ballynakill, Co. Galway",24267
"069 Boyounagh, Co. Galway",25700
"070 Creggs, Co. Galway",31729
"071 Curraghmore, Co. Galway",27477
"072 Glennamaddy, Co. Galway",23269
"073 Island, Co. Galway",24839
"074 Kilcroan, Co. Galway",24892
"075 Kiltullagh, Co. Galway",26963
"076 Raheen, Co. Galway",24569
"077 Scregg, Co. Galway",19469
"078 Shankill, Co. Galway",21170
"079 Templetogher, Co. Galway",23451
"080 Toberroe, Co. Galway",26367
"081 Ardamullivan, Co. Galway",27259
"082 Ardrahan, Co. Galway",34556
"083 Ballycahalan, Co. Galway",25568
"084 Beagh, Co. Galway",27175
"085 Cahermore, Co. Galway",28678
"086 Cappard, Co. Galway",..
"087 Castletaylor, Co. Galway",33799
"088 Doorus, Co. Galway",32000
"089 Drumacoo, Co. Galway",35224
"090 Gort, Co. Galway",21201
"091 Kilbeacanty, Co. Galway",23303
"092 Killeely, Co. Galway",35952
"093 Killeenavarra, Co. Galway",35154
"094 Killinny, Co. Galway",23596
"095 Kiltartan, Co. Galway",30916
"096 Kilthomas, Co. Galway",..
"097 Kinvarra, Co. Galway",25450
"098 Rahasane, Co. Galway",37054
"099 Skehanagh, Co. Galway",31200
"100 Aille, Co. Galway",27140
"101 Athenry, Co. Galway",29816
"102 Ballynagar, Co. Galway",22425
"103 Bracklagh, Co. Galway",25883
"104 Bullaun, Co. Galway",32518
"105 Cappalusk, Co. Galway",24131
"106 Castleboy, Co. Galway",26496
"107 Cloonkeen, Co. Galway",29356
"108 Colmanstown, Co. Galway",28622
"109 Craughwell, Co. Galway",31796
"110 Derrylaur, Co. Galway",24713
"111 Drumkeary, Co. Galway",30507
"112 Graigabbey, Co. Galway",35921
"113 Grange, Co. Galway",25960
"114 Greethill, Co. Galway",36107
"115 Kilchreest, Co. Galway",24923
"116 Kilconickny, Co. Galway",32050
"117 Kilconierin, Co. Galway",36106
"118 Killimor, Co. Galway",30038
"119 Killogilleen, Co. Galway",35426
"120 Kilmeen, Co. Galway",28670
"121 Kilreekill, Co. Galway",31910
"122 Kilteskill, Co. Galway",31711
"123 Kiltullagh, Co. Galway",31984
"124 Lackalea, Co. Galway",33064
"125 Leitrim, Co. Galway",26805
"127 Loughrea Rural, Co. Galway",33867
"128 Loughrea Urban, Co. Galway",27044
999 Marblehill / Loughatorick,21514
"130 Mountain, Co. Galway",22112
"131 Movode, Co. Galway",28822
"132 Raford, Co. Galway",32646
"133 Tiaquin, Co. Galway",33257
"134 Woodford, Co. Galway",18373
"135 Annagh, Co. Galway",27693
"136 Ballynakill, Co. Galway",26492
"137 Caltra, Co. Galway",24802
"138 Castleblakeney, Co. Galway",28415
"139 Castleffrench, Co. Galway",28120
"140 Clonbrock, Co. Galway",26820
"141 Cloonkeen, Co. Galway",34486
"142 Cooloo, Co. Galway",24495
"143 Derryglassaun, Co. Galway",27368
"144 Killeroran, Co. Galway",26606
"145 Killian, Co. Galway",29441
"146 Mount Bellew, Co. Galway",26404
"147 Mounthazel, Co. Galway",24645
"148 Taghboy, Co. Galway",33540
"149 Camas, Co. Galway",28034
"150 An Fhairche, Co. Galway",24616
"151 Conga, Co. Galway",32269
"152 An Crompán, Co. Galway",26414
"153 An Chorr, Co. Galway",27108
"154 Garmna, Co. Galway",19253
"155 Cill Chuimín, Co. Galway",27349
"156 Leitir Breacáin, Co. Galway",20480
"157 Letterfore, Co. Galway",25525
"158 Leitir Móir, Co. Galway",22756
"159 Oughterard, Co. Galway",23941
"160 An Ros, Co. Galway",..
"161 An Turlach, Co. Galway",20248
"162 Wormhole, Co. Galway",29878
"163 Abbeyville, Co. Galway",29272
"164 Ballyglass, Co. Galway",26083
"165 Coos, Co. Galway",..
"166 Derrew, Co. Galway",..
"167 Drummin, Co. Galway",22674
"168 Eyrecourt, Co. Galway",21973
"169 Killimor, Co. Galway",26041
"170 Kilmalinoge, Co. Galway",29313
"171 Kilquain, Co. Galway",26532
"172 Meelick, Co. Galway",25514
"173 Moat, Co. Galway",28544
"174 Pallas, Co. Galway",28777
"175 Portumna, Co. Galway",22628
"176 Tiranascragh, Co. Galway",29282
"177 Tynagh, Co. Galway",26521
"178 Abbey East, Co. Galway",24763
"179 Abbey West, Co. Galway",30638
"180 Addergoole, Co. Galway",23964
"181 Annaghdown, Co. Galway",29917
"182 Ballinderry, Co. Galway",29228
"183 Ballinduff, Co. Galway",33431
"184 Ballynapark, Co. Galway",32338
"185 Beaghmore, Co. Galway",27475
"186 Belclare, Co. Galway",27035
"187 Carrownagur, Co. Galway",27308
"188 Carrowrevagh, Co. Galway",29762
"189 Claretuam, Co. Galway",29717
"190 Clonbern, Co. Galway",22294
"191 Cloonkeen, Co. Galway",29849
"192 Cummer, Co. Galway",31182
"193 Donaghpatrick, Co. Galway",27919
"194 Doonbally, Co. Galway",31648
"195 Dunmore North, Co. Galway",25375
"196 Dunmore South, Co. Galway",21716
"197 Foxhall, Co. Galway",25433
"198 Headford, Co. Galway",30360
"199 Hillsbrook, Co. Galway",28842
"200 Kilbennan, Co. Galway",28855
"201 Kilcoona, Co. Galway",32488
"202 Killeany, Co. Galway",31425
"203 Killeen, Co. Galway",28421
"204 Killererin, Co. Galway",23756
"205 Killower, Co. Galway",31800
"206 Killursa, Co. Galway",27496
"207 Kilmoylan, Co. Galway",30528
"208 Kilshanvy, Co. Galway",23356
"209 Levally, Co. Galway",27677
"210 Milltown, Co. Galway",29125
"211 Monivea, Co. Galway",28803
"212 Moyne, Co. Galway",24398
"213 Ryehill, Co. Galway",27692
"214 Toberadosh, Co. Galway",18734
"215 Tuam Rural, Co. Galway",27637
"216 Tuam Urban, Co. Galway",25901
"001 Ballinamore, Co. Leitrim",26233
"002 Cloverhill, Co. Leitrim",26719
"003 Corrala, Co. Leitrim",19462
"004 Drumreilly North, Co. Leitrim",34844
"005 Drumreilly South, Co. Leitrim",..
"006 Garadice, Co. Leitrim",23660
999 Greaghglass / Stralongford,22387
"008 Killygar, Co. Leitrim",..
"009 Newtowngore, Co. Leitrim",..
"010 Oughteragh, Co. Leitrim",..
"012 Aghacashel, Co. Leitrim",21086
"013 Annaduff, Co. Leitrim",31119
"014 Barnameenagh, Co. Leitrim",..
"015 Carrick-on-Shannon, Co. Leitrim",22999
999 Drumreilly West / Drumreilly East,23808
"018 Drumshanbo, Co. Leitrim",21952
"019 Drumsna, Co. Leitrim",26725
"020 Gortnagullion, Co. Leitrim",33996
"021 Gowel, Co. Leitrim",32645
"022 Keshcarrigan, Co. Leitrim",26213
"023 Kiltubbrid, Co. Leitrim",..
"024 Leitrim, Co. Leitrim",27499
"025 Moher, Co. Leitrim",20081
"026 Yugan, Co. Leitrim",17681
999 Aghalateeve / Aghanlish,17617
999 Aghavoghill / Melvin,..
"030 Gubacreeny, Co. Leitrim",25249
"031 Kinlough, Co. Leitrim",21525
"033 Tullaghan, Co. Leitrim",25468
"035 Ballaghameehan, Co. Leitrim",30249
